,index,footnotes,latest,period,periodName,value,year
0,2010-01-01,[{}],,M01,January,216.687,2010
1,2010-02-01,[{}],,M02,February,216.74099999999999,2010
2,2010-03-01,[{}],,M03,March,217.63099999999997,2010
3,2010-04-01,[{}],,M04,April,218.00900000000001,2010
4,2010-05-01,[{}],,M05,May,218.178,2010
5,2010-06-01,[{}],,M06,June,217.965,2010
6,2010-07-01,[{}],,M07,July,218.011,2010
7,2010-08-01,[{}],,M08,August,218.312,2010
8,2010-09-01,[{}],,M09,September,218.43900000000002,2010
9,2010-10-01,[{}],,M10,October,218.71099999999998,2010
10,2010-11-01,[{}],,M11,November,218.803,2010
11,2010-12-01,[{}],,M12,December,219.179,2010
12,2011-01-01,[{}],,M01,January,220.22299999999998,2011
13,2011-02-01,[{}],,M02,February,221.30900000000003,2011
14,2011-03-01,[{}],,M03,March,223.467,2011
15,2011-04-01,[{}],,M04,April,224.90599999999998,2011
16,2011-05-01,[{}],,M05,May,225.96400000000003,2011
17,2011-06-01,[{}],,M06,June,225.722,2011
18,2011-07-01,[{}],,M07,July,225.922,2011
19,2011-08-01,[{}],,M08,August,226.545,2011
20,2011-09-01,[{}],,M09,September,226.889,2011
21,2011-10-01,[{}],,M10,October,226.421,2011
22,2011-11-01,[{}],,M11,November,226.23,2011
23,2011-12-01,[{}],,M12,December,225.672,2011
24,2012-01-01,[{}],,M01,January,226.665,2012
25,2012-02-01,[{}],,M02,February,227.66299999999998,2012
26,2012-03-01,[{}],,M03,March,229.392,2012
27,2012-04-01,[{}],,M04,April,230.085,2012
28,2012-05-01,[{}],,M05,May,229.815,2012
29,2012-06-01,[{}],,M06,June,229.47799999999998,2012
30,2012-07-01,[{}],,M07,July,229.104,2012
31,2012-08-01,[{}],,M08,August,230.37900000000002,2012
32,2012-09-01,[{}],,M09,September,231.407,2012
33,2012-10-01,[{}],,M10,October,231.317,2012
34,2012-11-01,[{}],,M11,November,230.22099999999998,2012
35,2012-12-01,[{}],,M12,December,229.601,2012
36,2013-01-01,[{}],,M01,January,230.28,2013
37,2013-02-01,[{}],,M02,February,232.166,2013
38,2013-03-01,[{}],,M03,March,232.773,2013
39,2013-04-01,[{}],,M04,April,232.53099999999998,2013
40,2013-05-01,[{}],,M05,May,232.945,2013
41,2013-06-01,[{}],,M06,June,233.50400000000002,2013
42,2013-07-01,[{}],,M07,July,233.59599999999998,2013
43,2013-08-01,[{}],,M08,August,233.877,2013
44,2013-09-01,[{}],,M09,September,234.149,2013
45,2013-10-01,[{}],,M10,October,233.546,2013
46,2013-11-01,[{}],,M11,November,233.06900000000002,2013
47,2013-12-01,[{}],,M12,December,233.049,2013
48,2014-01-01,[{}],,M01,January,233.916,2014
49,2014-02-01,[{}],,M02,February,234.78099999999998,2014
50,2014-03-01,[{}],,M03,March,236.293,2014
51,2014-04-01,[{}],,M04,April,237.072,2014
52,2014-05-01,[{}],,M05,May,237.9,2014
53,2014-06-01,[{}],,M06,June,238.343,2014
54,2014-07-01,[{}],,M07,July,238.25,2014
55,2014-08-01,[{}],,M08,August,237.852,2014
56,2014-09-01,[{}],,M09,September,238.03099999999998,2014
57,2014-10-01,[{}],,M10,October,237.433,2014
58,2014-11-01,[{}],,M11,November,236.15099999999998,2014
59,2014-12-01,[{}],,M12,December,234.812,2014
60,2015-01-01,[{}],,M01,January,233.707,2015
61,2015-02-01,[{}],,M02,February,234.722,2015
62,2015-03-01,[{}],,M03,March,236.11900000000003,2015
63,2015-04-01,[{}],,M04,April,236.59900000000002,2015
64,2015-05-01,[{}],,M05,May,237.805,2015
65,2015-06-01,[{}],,M06,June,238.638,2015
66,2015-07-01,[{}],,M07,July,238.65400000000002,2015
67,2015-08-01,[{}],,M08,August,238.31599999999997,2015
68,2015-09-01,[{}],,M09,September,237.945,2015
69,2015-10-01,[{}],,M10,October,237.838,2015
70,2015-11-01,[{}],,M11,November,237.33599999999998,2015
71,2015-12-01,[{}],,M12,December,236.525,2015
72,2016-01-01,[{}],,M01,January,236.916,2016
73,2016-02-01,[{}],,M02,February,237.111,2016
74,2016-03-01,[{}],,M03,March,238.132,2016
75,2016-04-01,[{}],,M04,April,239.261,2016
76,2016-05-01,[{}],,M05,May,240.229,2016
77,2016-06-01,[{}],,M06,June,241.018,2016
78,2016-07-01,[{}],,M07,July,240.628,2016
79,2016-08-01,[{}],,M08,August,240.84900000000002,2016
80,2016-09-01,[{}],,M09,September,241.428,2016
81,2016-10-01,[{}],,M10,October,241.729,2016
82,2016-11-01,[{}],,M11,November,241.35299999999998,2016
83,2016-12-01,[{}],,M12,December,241.43200000000002,2016
84,2017-01-01,[{}],,M01,January,242.83900000000003,2017
85,2017-02-01,[{}],,M02,February,243.60299999999998,2017
86,2017-03-01,[{}],,M03,March,243.801,2017
87,2017-04-01,[{}],,M04,April,244.524,2017
88,2017-05-01,[{}],,M05,May,244.733,2017
89,2017-06-01,[{}],,M06,June,244.955,2017
90,2017-07-01,[{}],,M07,July,244.78599999999997,2017
91,2017-08-01,[{}],,M08,August,245.519,2017
92,2017-09-01,[{}],,M09,September,246.81900000000002,2017
93,2017-10-01,[{}],,M10,October,246.66299999999998,2017
94,2017-11-01,[{}],,M11,November,246.669,2017
95,2017-12-01,[{}],,M12,December,246.524,2017
96,2018-01-01,[{}],,M01,January,247.86700000000002,2018
97,2018-02-01,[{}],,M02,February,248.99099999999999,2018
98,2018-03-01,[{}],true,M03,March,249.554,2018
